,price
0,4268
1,4882
2,14208
3,5113
4,2898
5,9801
6,871
7,15394
8,608
9,4177
10,10144
11,586
12,873
13,2054
14,651
15,8870
16,4883
17,882
18,737
19,2813
20,3126
21,1244
22,3003
23,4340
24,3153
25,2693
26,709
27,1397
28,12738
29,6794
30,2224
31,4295
32,984
33,8580
34,8602
35,5759
36,14112
37,4875
38,2610
39,4427
40,3388
41,421
42,5051
43,7414
44,1052
45,561
46,4620
47,2274
48,791
49,844
50,2155
51,1111
52,15708
53,4702
54,5962
55,1586
56,3708
57,895
58,589
59,17924
60,10235
61,5732
62,734
63,2715
64,6449
65,1404
66,710
67,1219
68,1883
69,583
70,17469
71,906
72,854
73,1787
74,3913
75,2812
76,2345
77,4298
78,606
79,1443
80,5461
81,675
82,3642
83,2052
84,2066
85,789
86,707
87,1629
88,888
89,3387
90,15802
91,675
92,945
93,748
94,619
95,9139
96,1079
97,877
98,844
99,1262
100,1078
101,3966
102,620
103,1308
104,3205
105,5908
106,965
107,4241
108,16786
109,596
110,2376
111,1081
112,7079
113,956
114,1318
115,3217
116,596
117,2867
118,856
119,7522
120,703
121,2087
122,666
123,799
124,1111
125,3324
126,4636
127,2656
128,5050
129,1125
130,4619
131,7171
132,15618
133,791
134,907
135,2573
136,2426
137,4977
138,772
139,895
140,14304
141,619
142,4196
143,12895
144,16985
145,558
146,1786
147,646
148,2348
149,1713
150,695
151,3150
152,1046
153,12722
154,4788
155,1764
156,802
157,944
158,15528
159,2200
160,7400
161,2905
162,1443
163,743
164,5279
165,8258
166,591
167,434
168,9802
169,1683
170,1377
171,772
172,15055
173,3644
174,8415
175,755
176,3142
177,814
178,789
179,891
180,1371
181,1743
182,2947
183,7311
184,2001
185,2741
186,6843
187,984
188,3919
189,9669
190,389
191,6169
192,3743
193,624
194,5540
195,5028
196,9399
197,1920
198,6340
199,705
200,1340
201,10463
202,12058
203,15841
204,1323
205,5050
206,7715
207,1633
208,2021
209,1577
210,540
211,9242
212,363
213,1007
214,5278
215,605
216,4750
217,6558
218,7292
219,984
220,12968
221,15584
222,803
223,13986
224,4028
225,868
226,920
227,363
228,1031
229,7509
230,1776
231,743
232,4242
233,3545
234,8161
235,1964
236,1975
237,838
238,4049
239,9965
240,2866
241,17895
242,6097
243,14308
244,767
245,3057
246,3751
247,1170
248,1758
249,1058
250,16224
251,4869
252,756
253,2352
254,2203
255,1153
256,2034
257,596
258,1896
259,571
260,4374
261,2294
262,5245
263,6915
264,1214
265,3838
266,5771
267,5489
268,3544
269,8925
270,1725
271,2351
272,3658
273,895
274,2352
275,772
276,4144
277,5274
278,636
279,3265
280,4325
281,4743
282,1378
283,612
284,4025
285,1291
286,442
287,9549
288,3513
289,2479
290,746
291,4691
292,1865
293,788
294,5029
295,994
296,9286
297,666
298,4004
299,8835
300,1917
301,1388
302,3999
303,3754
304,10913
305,829
306,3181
307,12094
308,4368
309,15887
310,863
311,1187
312,666
313,686
314,2760
315,4446
316,842
317,641
318,7280
319,1447
320,6272
321,6957
322,1018
323,2703
324,477
325,3504
326,6757
327,965
328,2633
329,3318
330,1209
331,1020
332,1655
333,422
334,2723
335,4980
336,16960
337,472
338,2084
339,1240
340,2052
341,15821
342,1080
343,12283
344,5095
345,862
346,5809
347,2201
348,956
349,12230
350,1743
351,1011
352,4874
353,914
354,7346
355,7889
356,700
357,13642
358,9784
359,3555
360,15760
361,13135
362,3739
363,707
364,2444
365,5299
366,1000
367,5085
368,1581
369,698
370,825
371,1641
372,1659
373,977
374,687
375,1403
376,1095
377,734
378,1343
379,5664
380,7291
381,700
382,2052
383,5105
384,878
385,3185
386,1411
387,3118
388,449
389,10338
390,596
391,4660
392,4425
393,3152
394,2917
395,3007
396,2763
397,523
398,3497
399,525
400,3489
401,907
402,898
403,6127
404,760
405,1438
406,12308
407,5291
408,4401
409,972
410,2442
411,1624
412,766
413,1287
414,530
415,992
416,4969
417,3782
418,2366
419,6999
420,2929
421,14561
422,3669
423,633
424,4588
425,9515
426,933
427,3075
428,3188
429,8157
430,3816
431,605
432,698
433,3700
434,1778
435,1035
436,6784
437,7677
438,666
439,3997
440,1825
441,6377
442,2143
443,1125
444,4892
445,12295
446,357
447,10814
448,608
449,1107
450,1431
451,2353
452,2792
453,935
454,878
455,1654
456,2657
457,584
458,11336
459,3014
460,759
461,12948
462,1073
463,7812
464,625
465,17751
466,680
467,1127
468,1348
469,2694
470,4208
471,4627
472,5624
473,7520
474,1792
475,828
476,4252
477,1012
478,491
479,17759
480,911
481,589
482,593
483,516
484,990
485,942
486,657
487,1435
488,473
489,2387
490,9328
491,2275
492,789
