,carat,cut,color,clarity,depth,table,x,y,z,city,price
0,1.21,Premium,J,VS2,62.4,58.0,6.83,6.79,4.25,Dubai,4268
1,1.02,Ideal,G,SI1,60.5,59.0,6.55,6.51,3.95,Dubai,4882
2,2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,Dubai,14208
3,1.01,Good,G,SI1,63.7,60.0,6.32,6.28,4.01,Dubai,5113
4,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,Dubai,2898
5,1.64,Ideal,E,SI1,60.7,55.0,7.67,7.64,4.65,Dubai,9801
6,0.31,Ideal,G,IF,61.1,57.0,4.38,4.42,2.68,Dubai,871
7,2.01,Good,D,SI2,64.6,55.0,7.85,7.98,5.11,Dubai,15394
8,0.3,Very Good,I,VS1,63.3,59.0,4.23,4.2,2.67,Dubai,608
9,1.03,Good,D,SI2,57.6,58.0,6.6,6.67,3.82,Dubai,4177
10,1.1,Ideal,D,VS1,61.9,56.0,6.58,6.61,4.09,Dubai,10144
11,0.32,Ideal,F,SI1,60.9,55.0,4.46,4.53,2.72,Dubai,586
12,0.3,Ideal,F,IF,59.8,58.0,4.37,4.46,2.64,Dubai,873
13,0.62,Ideal,E,SI1,61.7,54.0,5.53,5.49,3.4,Dubai,2054
14,0.36,Ideal,H,VS1,61.5,55.0,4.59,4.62,2.83,Dubai,651
15,1.21,Premium,F,VS2,60.1,55.0,7.01,6.91,4.18,Dubai,8870
16,1.17,Ideal,J,SI1,62.3,55.0,6.74,6.77,4.21,Dubai,4883
17,0.4,Very Good,E,SI1,63.5,57.0,4.72,4.7,2.99,Dubai,882
18,0.3,Premium,F,VVS2,61.6,58.0,4.28,4.35,2.66,Dubai,737
19,0.91,Premium,G,SI2,59.8,58.0,6.3,6.29,3.77,Dubai,2813
20,0.57,Ideal,D,VVS1,61.6,56.0,5.33,5.35,3.29,Dubai,3126
21,0.52,Good,G,SI1,63.3,57.0,5.08,5.11,3.22,Dubai,1244
22,0.65,Premium,D,VVS2,59.9,58.0,5.69,5.63,3.39,Dubai,3003
23,1.07,Very Good,G,SI2,64.6,60.0,6.35,6.4,4.12,Dubai,4340
24,0.92,Good,E,SI2,62.0,64.0,6.2,6.16,3.83,Dubai,3153
25,0.7,Ideal,E,VS2,62.5,55.0,5.73,5.7,3.57,Dubai,2693
26,0.45,Ideal,G,SI2,61.9,54.0,4.91,4.95,3.05,Dubai,709
27,0.4,Ideal,E,VVS1,62.8,57.0,4.71,4.65,2.94,Dubai,1397
28,1.51,Ideal,D,SI1,59.5,57.0,7.56,7.46,4.47,Dubai,12738
29,1.01,Good,F,VS1,59.0,62.0,6.56,6.6,3.88,Dubai,6794
30,0.72,Ideal,F,SI2,62.0,55.0,5.75,5.79,3.58,Dubai,2224
31,1.0,Premium,D,SI2,60.8,60.0,6.45,6.41,3.91,Dubai,4295
32,0.5,Very Good,H,SI1,63.1,55.0,5.09,5.02,3.19,Dubai,984
33,1.5,Ideal,G,SI2,61.4,56.0,7.34,7.38,4.52,Dubai,8580
34,1.2,Premium,G,VS1,62.8,58.0,6.84,6.75,4.27,Dubai,8602
35,1.01,Very Good,E,SI1,61.9,56.0,6.33,6.41,3.94,Dubai,5759
36,1.51,Very Good,D,VS2,62.3,59.0,7.29,7.34,4.56,Dubai,14112
37,1.24,Ideal,J,SI1,61.8,57.0,6.92,6.86,4.26,Dubai,4875
